TransactionID,AccountID,TransactionDate,Amount,Balance,TransactionMethod
3528433,11186,2021-07-31 00:00:00,352.1,91626.7031,1
634356,2167,2018-04-12 00:00:00,7094,56664.3008,6
634363,2167,2018-11-12 00:00:00,7094,54479.1016,6
634516,2167,2021-08-31 00:00:00,14.6,85129.2969,4
634549,2167,2019-01-25 00:00:00,8000,28125.3008,4
2747212,9093,2019-05-09 00:00:00,1311,53983,6
2747552,9093,2017-07-11 00:00:00,100,27885.6992,4
2747561,9093,2018-04-07 00:00:00,7600,39909,4
2798216,9265,2018-12-31 00:00:00,14.6,90516.5,4
2820592,9337,2020-03-26 00:00:00,4200,53768.8984,4
2833845,9377,2020-12-12 00:00:00,4164,94777.2031,6
2833965,9377,2020-09-26 00:00:00,23211,54015.1016,2
2834084,9377,2019-07-13 00:00:00,29200,59437.1016,4
2872178,9504,2019-08-31 00:00:00,14.6,41756.3008,4
2956474,9790,2020-06-22 00:00:00,13343,52516,2
2963759,9814,2021-11-30 00:00:00,30,86574.3984,4
2976494,9859,2021-08-05 00:00:00,1476,40435.1016,6
2976647,9859,2020-08-02 00:00:00,22000,49347,4
2979469,9869,2020-10-29 00:00:00,6100,70978.7031,4
3022687,10022,2021-07-01 00:00:00,2400,45810.3984,4
3036248,10065,2020-02-23 00:00:00,26600,62718.8984,4
3039802,10079,2018-01-31 00:00:00,14.6,26287.4004,4
602399,2051,2021-05-26 00:00:00,26208,87156.1016,1
602467,2051,2021-10-12 00:00:00,4898.2002,54996.3984,6
605731,2062,2019-10-14 00:00:00,43095,65106.8008,3
605817,2062,2020-12-10 00:00:00,107,52515.6992,6
606003,2062,2021-02-24 00:00:00,13100,47281.5,4
610799,2080,2021-03-12 00:00:00,5961,74619.2969,6
619674,2116,2019-05-02 00:00:00,1000,1000,1
619689,2116,2020-11-10 00:00:00,28969,82782.2969,1
630648,2153,2020-10-13 00:00:00,10303,20750.1992,6
894734,3050,2017-06-08 00:00:00,119,87896.1016,6
894801,3050,2017-01-09 00:00:00,41,64981.8008,6
912774,3112,2019-09-12 00:00:00,2567.3,65544,6
2383468,7859,2020-07-12 00:00:00,6010.2002,28876.5996,6
2384019,7861,2020-09-08 00:00:00,8400,61892.6992,6
2384191,7861,2019-01-12 00:00:00,607,31728.4004,6
2384327,7861,2021-06-30 00:00:00,14.6,79221.5,4
2384334,7861,2018-06-21 00:00:00,12000,36455.3008,4
2393253,7894,2019-10-31 00:00:00,14.6,78150,4
2393269,7894,2021-02-28 00:00:00,14.6,32711.0996,4
2438477,8039,2021-06-14 00:00:00,3231,31786.0996,6
2439056,8041,2020-10-29 00:00:00,12823,115094.7969,2
2439132,8041,2017-11-12 00:00:00,13500,14771.7998,4
2439294,8041,2020-09-19 00:00:00,14600,71041.3984,4
2464254,8127,2019-01-11 00:00:00,5400,88505.7031,4
2464847,8129,2017-05-13 00:00:00,2500,42505.8984,4
2465019,8129,2016-09-24 00:00:00,12200,40548.3984,4
2501913,8260,2019-01-08 00:00:00,37435,78365,3
2502176,8260,2016-06-22 00:00:00,40000,59994.6016,4
2502244,8260,2020-12-28 00:00:00,6500,88082.8984,4
2523575,8327,2020-11-12 00:00:00,5161.2002,29138.1992,6
2523845,8327,2019-11-30 00:00:00,48700,62063.3984,4
2572284,8492,2017-11-12 00:00:00,11142,43083.6016,1
2583132,8533,2021-09-04 00:00:00,31756,105768.8984,1
2583183,8533,2021-08-12 00:00:00,3626,106984.5,6
2610657,8625,2021-04-30 00:00:00,18623,86779.5,1
246373,846,2019-12-12 00:00:00,7795.5,24208.0996,6
246468,846,2020-03-31 00:00:00,14.6,20496.4004,4
541684,1843,2016-03-07 00:00:00,17632,40164,3
541769,1843,2017-04-12 00:00:00,2938.7,22858.6992,6
541896,1843,2021-11-13 00:00:00,6994,43308.1016,6
547192,1862,2020-11-06 00:00:00,14700,37320.3008,4
547286,1862,2021-06-08 00:00:00,49600,71272,4
550915,1876,2021-04-09 00:00:00,11200,53907.1016,4
853691,2910,2021-11-09 00:00:00,43748,60215.8984,3
1275175,4361,2021-05-26 00:00:00,15384,36209.8984,2
1295017,4423,2021-01-29 00:00:00,33825,87420.3984,1
1302310,4448,2018-12-13 00:00:00,21738,113486.8984,1
1302633,4448,2016-12-16 00:00:00,47700,73808.1016,4
1304944,4456,2020-01-17 00:00:00,20100,55445.1016,4
1319132,4503,2020-12-31 00:00:00,14.6,22059.9004,4
1352492,4616,2021-08-20 00:00:00,19500,80443.3984,4
1356819,4631,2021-02-28 00:00:00,100,53645.5,4
1393092,4746,2020-09-15 00:00:00,15200,102688,4
3633203,3112,2017-08-31 00:00:00,54.9,31473.9004,1
3639612,3293,2020-10-31 00:00:00,375.6,95636.2969,1
3651223,3664,2019-05-31 00:00:00,131.1,65716.1016,1
3651250,3664,2021-08-31 00:00:00,254.9,83346.2969,1
3665829,4585,2021-03-31 00:00:00,149.6,31978,1
3666110,4631,2020-06-30 00:00:00,163.9,32625.5,1
3673726,5952,2021-06-30 00:00:00,241.5,57461.3984,1
3673989,6030,2017-06-30 00:00:00,213.8,43264.6016,1
3676029,6363,2021-06-30 00:00:00,254.4,47557.3984,1
3678903,6924,2019-09-30 00:00:00,144.8,29015.5996,1
3678971,6930,2020-01-31 00:00:00,189,37352.3008,1
3680535,7156,2020-11-30 00:00:00,240.5,64487.1016,1
3682711,9337,2018-06-30 00:00:00,215.1,91179.6016,1
280192,960,2018-11-13 00:00:00,40011,57179.6992,3
289950,993,2021-12-10 00:00:00,23455,37124.3008,2
966476,3293,2021-01-12 00:00:00,221,59990.8984,6
1436813,4894,2021-01-12 00:00:00,29255,66523.2031,3
1436880,4894,2020-08-08 00:00:00,5200,79130.7969,4
1453816,4949,2020-03-08 00:00:00,36239,77978.7031,3
1501618,5120,2018-03-27 00:00:00,19759,47343.1016,1
1524733,5196,2021-05-25 00:00:00,27600,64285.6992,4
1531633,5215,2021-09-03 00:00:00,6500,58185.3984,4
1602866,5442,2021-03-13 00:00:00,1017,35320.3984,6
1612752,5477,2019-09-27 00:00:00,19691,62574,1
1657297,5622,2021-08-09 00:00:00,8600,77725.8984,4
1657518,5622,2017-01-10 00:00:00,2700,36904.3008,4
1657678,5622,2017-11-30 00:00:00,22700,60990.6992,4
3582324,1580,2021-01-31 00:00:00,133.2,30671,1
232093,790,2019-02-27 00:00:00,43151,81136.7969,1
232159,790,2018-05-12 00:00:00,4335.7998,40536.6992,6
232306,790,2017-11-20 00:00:00,10500,19133.6992,4
232313,790,2019-04-02 00:00:00,7800,89070.7031,4
241511,825,2021-01-09 00:00:00,2520,38748.6016,4
241554,825,2021-02-28 00:00:00,14.6,30071.5996,4
3135030,10404,2020-06-30 00:00:00,14.6,39966.6016,4
3135039,10404,2021-03-31 00:00:00,14.6,32332.6992,4
3136900,10411,2020-01-07 00:00:00,3020,20397.1992,6
3137011,10411,2021-04-05 00:00:00,2323,48655.3984,6
3137097,10411,2020-06-03 00:00:00,14400,86978.3984,4
3137233,10411,2021-11-07 00:00:00,16900,61299.5,1
3145529,10439,2018-12-11 00:00:00,20300,49827.8008,4
3147279,10445,2020-08-07 00:00:00,3234,61803.1992,6
3147383,10445,2019-10-31 00:00:00,14.6,44797.5,4
3213333,10663,2019-08-14 00:00:00,4782,57056.1992,6
3213453,10663,2020-12-08 00:00:00,3033,70556.3984,2
3235521,10738,2017-12-10 00:00:00,8042,9669.5,6
3235742,10738,2018-07-31 00:00:00,30,94622.7031,4
3324358,11042,2021-11-05 00:00:00,36191,67330.5,3
3324366,11042,2018-07-10 00:00:00,5900,52604.1992,4
3324604,11042,2020-04-18 00:00:00,15100,54277.1992,4
3353857,11138,2019-01-23 00:00:00,3600,45576.5,4
3353976,11138,2020-04-09 00:00:00,19200,54396.3984,4
3448814,3166,2017-06-30 00:00:00,139.4,18446.6992,1
3448822,3166,2018-01-31 00:00:00,6.2,,4
40622,132,2020-09-17 00:00:00,26900,117211.5,4
435609,1480,2021-12-12 00:00:00,3425.2,33625.1016,6
435677,1480,2020-03-31 00:00:00,30,48115.8984,4
791624,2699,2021-01-06 00:00:00,662,27853.5,6
829311,2824,2017-07-09 00:00:00,7289,42131,6
829318,2824,2018-02-09 00:00:00,7289,34144.1992,6
1920933,6510,2020-02-19 00:00:00,1900,60846.5,4
1921026,6510,2020-09-30 00:00:00,14.6,64593,4
1921033,6510,2021-04-30 00:00:00,14.6,19231.5,4
67959,226,2020-12-11 00:00:00,8928,60698.6016,6
67983,226,2020-12-06 00:00:00,7900,41038.6016,4
648709,2218,2019-08-05 00:00:00,41038,90946.6016,3
651581,2227,2018-10-16 00:00:00,3800,49226.1016,4
651674,2227,2021-07-11 00:00:00,13386,87884.3984,6
667547,2279,2021-05-09 00:00:00,39338,73167.8984,3
667674,2279,2019-12-29 00:00:00,34500,54253.3008,4
947446,3229,2019-11-11 00:00:00,6411,39779.8008,6
947581,3229,2021-10-31 00:00:00,14.6,23841.8008,4
2788905,9235,2018-12-14 00:00:00,2000,60851.6016,4
2789075,9235,2020-11-10 00:00:00,13700,34403.1016,4
2797772,9265,2016-07-25 00:00:00,28883,64604.1016,1
2797872,9265,2021-06-16 00:00:00,46598,90320.7031,1
2798085,9265,2021-06-12 00:00:00,4017,46422.6992,6
2798144,9265,2020-01-05 00:00:00,4500,54150.8984,4
2798153,9265,2021-01-06 00:00:00,2400,73530.2969,5
2820248,9337,2018-10-19 00:00:00,28908,64189.3984,1
2820434,9337,2020-01-06 00:00:00,4500,14031.5,4
2979286,9869,2020-06-12 00:00:00,5526,60234.1016,6
2979363,9869,2017-04-30 00:00:00,14.6,31543.6992,4
3036185,10065,2020-05-25 00:00:00,6900,41404.3984,4
3039508,10079,2017-09-10 00:00:00,19050,104530.7031,1
3039526,10079,2017-07-17 00:00:00,45926,106672.2031,1
3039576,10079,2021-01-17 00:00:00,30958,56779.3984,1
3039619,10079,2018-07-12 00:00:00,2784.8,20210.5,6
3039884,10079,2018-07-25 00:00:00,4200,24410.5,1
280264,960,2019-11-12 00:00:00,3151,38187,6
280536,960,2021-10-31 00:00:00,100,82952.2969,4
1427262,4863,2021-12-12 00:00:00,6036,83493.2031,6
1436766,4894,2017-02-12 00:00:00,29255,49751.3008,3
1467525,4999,2021-01-01 00:00:00,10800,51469.8984,4
1502004,5120,2016-09-19 00:00:00,100,20100,1
1505991,5133,2020-08-31 00:00:00,30,87827.2969,4
1524693,5196,2021-01-17 00:00:00,6600,43025.1992,4
1530643,5213,2021-08-02 00:00:00,14900,23201.5996,4
1531001,5215,2017-06-09 00:00:00,23230.5,48427.3008,1
1531008,5215,2018-01-09 00:00:00,15487,39613.3984,1
1531212,5215,2017-01-08 00:00:00,372,32291.9004,6
1531331,5215,2020-12-10 00:00:00,870,76590.6016,6
1613079,5477,2021-07-04 00:00:00,19500,75360.6016,4
1650194,5593,2020-08-25 00:00:00,37391,100359.2031,1
1650203,5593,2020-08-31 00:00:00,15709,96708.2031,1
1650262,5593,2020-07-12 00:00:00,3697.8,71296.3984,6
1650330,5593,2020-03-21 00:00:00,7342,56208.3984,2
1650397,5593,2020-04-30 00:00:00,14.6,83882.3984,4
1652422,5602,2019-07-10 00:00:00,600,16289,1
1652515,5602,2021-06-14 00:00:00,5671,84596.6016,2
1657283,5622,2020-06-21 00:00:00,6800,49480.3984,4
1657455,5622,2016-08-13 00:00:00,17136,49419.3008,2
1657470,5622,2019-01-12 00:00:00,13139,56760.3008,2
1657683,5622,2018-04-29 00:00:00,3100,41438.3008,1
3591396,1843,2019-12-31 00:00:00,96.9,24469.6992,1
34276,110,2020-09-30 00:00:00,14.6,56061.1992,4
40532,132,2020-01-30 00:00:00,17400,47128.1016,4
435594,1480,2020-09-17 00:00:00,2400,22054,4
791527,2699,2021-12-11 00:00:00,67348,120881.8984,3
791661,2699,2020-06-22 00:00:00,26400,74736.6016,4
829364,2824,2021-12-09 00:00:00,7289,98493.3984,6
829468,2824,2019-01-23 00:00:00,840,34357,4
829483,2824,2021-01-30 00:00:00,2760,62428.5,4
1920893,6510,2020-02-03 00:00:00,30586,112175.5,1
1920913,6510,2021-06-19 00:00:00,15475,30536.8008,1
1962907,6649,2021-01-12 00:00:00,1671,48075.1992,6
1962966,6649,2021-01-22 00:00:00,7200,76468.2031,4
2042876,6924,2020-04-30 00:00:00,14.6,37378.5,4
34308,110,2021-01-08 00:00:00,23500,39309.6992,4
1946021,6592,2021-11-13 00:00:00,19325,73203,2
2042636,6924,2019-05-12 00:00:00,4059.5,43355.8984,6
2042690,6924,2018-11-07 00:00:00,4585,53649.8984,6
2042883,6924,2020-11-30 00:00:00,14.6,29952.6992,4
2044893,6930,2017-10-03 00:00:00,19500,44933.8008,4
2078136,7045,2021-03-12 00:00:00,6015.2998,79238.2969,6
2307936,7614,2020-06-12 00:00:00,6678.7002,78441.5,6
2308087,7614,2018-08-07 00:00:00,22000,49978.8984,4
2347248,7745,2021-06-26 00:00:00,3300,46888,4
2349818,7753,2016-11-12 00:00:00,1800,60711.6992,4
2349825,7753,2017-06-12 00:00:00,2153.8,23455,6
2363926,7795,2018-08-15 00:00:00,6700,65127.1016,4
2364112,7795,2019-03-30 00:00:00,36400,61572.6016,4
3629251,2982,2021-10-31 00:00:00,347.2,78521.2969,1
68053,226,2021-10-16 00:00:00,6900,45262.6016,4
82509,276,2021-06-04 00:00:00,16593,51569,2
634427,2167,2018-09-16 00:00:00,4920,43243.6992,4
648732,2218,2021-07-05 00:00:00,41038,132228.5938,3
648779,2218,2020-06-12 00:00:00,3034,53945.5,6
651486,2227,2018-10-22 00:00:00,16506,65732.1016,1
947460,3229,2021-01-11 00:00:00,6411,22320.1992,6
947594,3229,2019-09-06 00:00:00,58400,58625,4
2747361,9093,2019-10-12 00:00:00,3155,52029.3008,6
2747401,9093,2017-12-10 00:00:00,3840,38377.8984,4
2747495,9093,2018-03-31 00:00:00,14.6,33344,4
2789032,9235,2020-09-30 00:00:00,14.6,34210.1992,4
2797958,9265,2016-11-05 00:00:00,9493,27616,6
2820354,9337,2021-11-08 00:00:00,1700,54279.6016,4
2833852,9377,2021-07-12 00:00:00,4164,84237,6
2833950,9377,2021-09-12 00:00:00,3983,78957.7031,6
2847176,9422,2020-05-05 00:00:00,3136,51716.3984,6
2872055,9504,2020-06-05 00:00:00,55628,90087.3984,3
2963629,9814,2019-12-12 00:00:00,8000,15057.9004,4
2976461,9859,2021-11-07 00:00:00,1008,32992.8984,6
2979065,9869,2020-01-13 00:00:00,22184,71584.2031,1
2979253,9869,2017-09-07 00:00:00,4400,19380,4
3022555,10022,2021-01-12 00:00:00,4542.7002,45825.3984,6
3022644,10022,2021-01-26 00:00:00,8400,35325.3984,4
3039612,10079,2017-12-12 00:00:00,2784.8,58983.6992,6
3039642,10079,2020-06-12 00:00:00,2784.8,62716.8008,6
3039709,10079,2020-12-21 00:00:00,1800,30569.0996,4
99296,339,2021-06-12 00:00:00,19700,98416.5,4
516830,1766,2018-08-29 00:00:00,13700,38845.3984,4
1736733,5891,2020-06-16 00:00:00,5800,79487.5,4
1754352,5952,2019-10-09 00:00:00,3028,48153,6
1754488,5952,2019-02-14 00:00:00,3684,72218.2969,6
1754624,5952,2020-05-23 00:00:00,17938,52294.3984,2
1787189,6062,2020-08-07 00:00:00,37379,88376.7031,3
1787350,6062,2020-01-25 00:00:00,10800,36768.1016,4
1814536,6148,2017-02-13 00:00:00,23038,47195.5,1
1814808,6148,2018-06-08 00:00:00,2880,39502.1016,4
1817872,6157,2021-01-19 00:00:00,3900,36328.3984,5
1850516,6265,2021-01-06 00:00:00,5100,23865.3008,4
1853011,6273,2019-01-19 00:00:00,18600,28328.6992,4
1876303,6353,2020-05-10 00:00:00,5984,27209.5,6
1876496,6353,2017-09-30 00:00:00,14.6,37875.1992,4
1879590,6363,2016-12-31 00:00:00,14.6,40099.3008,4
1879675,6363,2018-09-20 00:00:00,4300,39030.3008,4
3558072,846,2021-10-31 00:00:00,332.3,80669.1016,1
3562238,960,2018-06-30 00:00:00,290.7,66184.5,1
232252,790,2017-01-05 00:00:00,29400,13666.9004,4
1072424,3664,2020-11-19 00:00:00,9200,57949.8008,4
2042719,6924,2021-04-07 00:00:00,4585,51651.8008,6
2042812,6924,2017-11-21 00:00:00,6000,35761.1016,4
2044630,6930,2017-06-12 00:00:00,36289.5,84743.5,1
2079604,7049,2021-03-05 00:00:00,58700,52950.3984,4
2307885,7614,2020-03-07 00:00:00,40072,83921.2031,3
2343845,7733,2021-06-28 00:00:00,7800,58201.6992,4
2349760,7753,2020-01-11 00:00:00,28120,101891.8984,1
2350032,7753,2018-02-28 00:00:00,14.6,29215.0996,4
2350033,7753,2018-03-31 00:00:00,14.6,29063.9004,4
2350100,7753,2017-08-02 00:00:00,5400,28373.6992,1
2363948,7795,2020-06-12 00:00:00,6202,49874.5,6
3623868,2824,2021-09-30 00:00:00,396.8,94959.7969,1
3629666,2994,2021-06-30 00:00:00,228.5,39334.1016,1
89919,303,2020-06-26 00:00:00,3500,27961.6992,4
498313,1698,2021-01-31 00:00:00,14.6,35914.3008,4
516614,1766,2020-12-07 00:00:00,2390,26923.1992,6
516682,1766,2021-08-12 00:00:00,501,9808.7002,6
516802,1766,2020-07-31 00:00:00,14.6,23866.5,4
1777748,6030,2018-10-07 00:00:00,20037,55554.8008,1
1777766,6030,2020-04-07 00:00:00,20037,83432,1
1778020,6030,2020-02-04 00:00:00,17100,54109.6016,4
1814753,6148,2018-12-12 00:00:00,3520,42528.1016,4
1850390,6265,2021-08-15 00:00:00,20372,68507.7031,1
3548684,544,2018-09-30 00:00:00,188.6,47225.3984,1
3552704,675,2020-10-31 00:00:00,179.7,43558.1016,1
3552713,675,2021-07-31 00:00:00,241.1,57479.6992,1
3554109,718,2021-06-30 00:00:00,237.8,60557.3984,1
162910,544,2019-10-12 00:00:00,3798.2,60430.6992,6
875378,2982,2020-11-07 00:00:00,23,41425.1992,6
1267888,4337,2019-05-26 00:00:00,11821,61530.5,1
1267924,4337,2021-04-16 00:00:00,6166,67862,1
1267997,4337,2021-07-06 00:00:00,1200,52375.3984,4
1268160,4337,2017-02-14 00:00:00,7300,28440.5,4
1268169,4337,2017-09-12 00:00:00,28700,56694.3008,4
1268237,4337,2021-12-20 00:00:00,15700,58752.1992,4
1269903,4342,2021-01-28 00:00:00,8100,62068.1016,4
1273142,4354,2021-04-10 00:00:00,12756,31643.8008,6
3490674,7614,2021-04-30 00:00:00,222.4,46869.8984,1
3501496,8547,2020-05-31 00:00:00,372.8,86168.3984,1
3510200,9337,2019-01-31 00:00:00,0.5,22162.0996,4
3538016,226,2020-09-30 00:00:00,182.5,45140.8984,1
648815,2218,2020-08-07 00:00:00,2101,66214.8984,2
651721,2227,2021-04-27 00:00:00,16460,43673.6016,2
651757,2227,2019-12-06 00:00:00,11700,33005.3008,4
651807,2227,2020-03-31 00:00:00,30,22728.5996,4
662789,2262,2021-05-31 00:00:00,14.6,62935.6992,4
667569,2279,2020-03-04 00:00:00,7800,52442.6992,4
947475,3229,2020-01-09 00:00:00,10656,64489,2
2698958,8931,2019-11-06 00:00:00,6294,95835.7031,6
2798005,9265,2020-10-05 00:00:00,9493,56933.1992,6
2798055,9265,2018-12-12 00:00:00,4017,56023.8984,6
2847295,9422,2020-11-30 00:00:00,14.6,58810.8008,4
2956551,9790,2021-02-14 00:00:00,6300,41443.6016,4
2956583,9790,2020-06-30 00:00:00,14.6,44947.6992,4
2976528,9859,2021-06-13 00:00:00,765,59994.8984,6
2979027,9869,2016-11-13 00:00:00,22184,55202.1016,1
2979266,9869,2018-10-12 00:00:00,5526,34245.8984,6
2979333,9869,2020-08-17 00:00:00,1100,84327.1016,5
3022621,10022,2020-12-23 00:00:00,7087,62194.1992,2
3039648,10079,2020-12-12 00:00:00,2784.8,44216.1016,6
3039657,10079,2021-09-12 00:00:00,2784.8,20917.1992,6
3039827,10079,2020-02-28 00:00:00,14.6,73322.8984,4
3039920,10079,2021-05-25 00:00:00,64100,55561.8008,4
602466,2051,2021-09-12 00:00:00,4898.2002,79477.7969,6
627461,2143,2021-02-28 00:00:00,14.6,26434.4004,4
630614,2153,2020-12-11 00:00:00,1737,54181.6016,6
630691,2153,2021-05-05 00:00:00,2223,25838.4004,6
498326,1698,2019-06-12 00:00:00,16200,47063.1016,4
516668,1766,2020-06-12 00:00:00,501,17340.5,6
1736732,5891,2020-05-06 00:00:00,4000,70999.2031,4
1736826,5891,2018-01-08 00:00:00,2700,54081.8008,4
1736851,5891,2016-07-11 00:00:00,5100,36030.1016,4
1752792,5944,2020-11-30 00:00:00,14.6,51338.6992,4
1752799,5944,2021-06-30 00:00:00,14.6,66451.6016,4
1754356,5952,2020-02-09 00:00:00,3028,28158.5,6
1754497,5952,2019-11-14 00:00:00,3684,76109.3984,6
1777725,6030,2016-11-07 00:00:00,20037,56253.3008,1
1777846,6030,2020-12-05 00:00:00,1400,78698.7969,4
1787309,6062,2021-10-29 00:00:00,9685,35011.1016,2
1787349,6062,2020-07-21 00:00:00,10800,57079.5,4
1814812,6148,2019-02-12 00:00:00,4920,21912.4004,4
1852832,6273,2016-12-02 00:00:00,9323,34117.8008,1
1852973,6273,2021-09-27 00:00:00,5400,68570,4
1853079,6273,2021-09-10 00:00:00,7800,67039,4
1853215,6273,2021-06-25 00:00:00,17900,69050,4
1876131,6353,2018-01-12 00:00:00,24423,65905.8984,1
1876530,6353,2020-07-31 00:00:00,14.6,47852.8984,4
3557373,825,2020-05-31 00:00:00,119.3,29832,1
464386,1580,2021-02-09 00:00:00,15876,46532.3984,1
464549,1580,2020-09-29 00:00:00,41400,67946.1016,4
854543,2912,2020-01-31 00:00:00,14.6,51341.3984,4
875308,2982,2021-01-13 00:00:00,164,66249.2031,6
875315,2982,2021-08-13 00:00:00,164,74196.5,6
875387,2982,2021-08-07 00:00:00,23,37189.5,6
876679,2986,2021-11-30 00:00:00,14.6,56344.8984,4
879009,2994,2020-09-14 00:00:00,3217,59752.8008,6
1197505,4099,2021-12-12 00:00:00,872,57047.1016,6
1269874,4342,2021-10-06 00:00:00,6135,86266.8984,6
3490888,7637,2020-10-31 00:00:00,194.6,44878.3984,1
3492563,7795,2021-08-31 00:00:00,327.1,54537.6016,1
3497358,8173,2020-11-30 00:00:00,239.7,28992.6992,1
3499091,8327,2020-07-31 00:00:00,65.6,33802.6016,1
3500902,8492,2020-05-31 00:00:00,103.7,42504.8984,1
3507655,9093,2017-07-31 00:00:00,85.7,24471.4004,1
3522311,10520,2020-05-31 00:00:00,404.3,62814.5,1
3523197,10663,2017-08-31 00:00:00,234.6,53461.8984,1
3525561,10905,2020-08-31 00:00:00,189,42951.3008,1
3527056,11042,2019-07-31 00:00:00,231.7,49982.3008,1
3534009,105,2021-05-31 00:00:00,187.2,52004,1
3534927,132,2019-09-30 00:00:00,209.7,51246.1016,1
30092,97,2021-02-12 00:00:00,8573,24553,6
435554,1480,2020-12-16 00:00:00,25367,78289.5,1
435707,1480,2020-04-27 00:00:00,28200,85648.8984,4
791560,2699,2021-09-12 00:00:00,4816,81307.2031,6
799285,2725,2021-09-08 00:00:00,461,42631.3008,6
829496,2824,2017-06-03 00:00:00,1440,28898.5996,4
829647,2824,2021-10-24 00:00:00,2900,99200.2031,5
1920906,6510,2020-02-16 00:00:00,16071,98246.5,1
1963015,6649,2020-03-31 00:00:00,14.6,40278.6992,4
2044931,6930,2020-11-16 00:00:00,20600,57925.8984,4
2315076,7637,2021-03-12 00:00:00,8127,52078.8984,6
2340321,7721,2021-06-14 00:00:00,14107,42974.6992,2
2349747,7753,2019-06-30 00:00:00,37399,87586.2969,1
2350019,7753,2017-01-31 00:00:00,14.6,22708.9004,4
2363891,7795,2020-05-23 00:00:00,10293,41716.3008,1
2364027,7795,2018-08-20 00:00:00,3900,61227.1016,4
2364061,7795,2019-05-31 00:00:00,14.6,55592.8008,4
2364113,7795,2019-04-05 00:00:00,37600,70563.1016,4
2364126,7795,2019-11-25 00:00:00,32600,62864.6992,4
3626824,2912,2020-01-31 00:00:00,261.3,51356,1
3629237,2982,2020-08-31 00:00:00,236.4,44669.3008,1
