AccountID,StatementFrequency,OpenedDate
81,Monthly,2019-07-18
82,Monthly,2017-05-03
83,Monthly,2016-04-16
84,Issuance After Transaction,2018-12-25
85,Monthly,2020-03-23
86,Monthly,2016-03-07
88,Monthly,2019-07-03
89,Monthly,2020-09-25
90,Monthly,2017-07-13
91,Monthly,2019-11-06
93,Monthly,2019-06-12
95,Monthly,2018-03-30
96,Monthly,2016-02-18
97,Monthly,2019-05-05
98,Monthly,2020-05-02
99,Monthly,2018-06-27
100,Monthly,2016-12-28
101,Monthly,2019-04-16
102,Monthly,2016-10-16
103,Monthly,2019-03-10
104,Monthly,2016-04-15
105,Monthly,2020-07-10
106,Monthly,2017-11-27
107,Monthly,2016-11-05
108,Monthly,2018-03-10
109,Monthly,2020-04-20
110,Monthly,2019-07-17
112,Monthly,2016-03-12
113,Monthly,2019-07-22
114,Monthly,2020-03-14
115,Monthly,2016-03-19
116,Monthly,2019-03-21
117,Monthly,2016-09-05
118,Monthly,2020-09-18
119,Monthly,2016-05-25
120,Weekly,2018-06-16
121,Monthly,2020-10-11
122,Monthly,2019-10-30
123,Monthly,2016-03-13
124,Monthly,2020-12-28
125,Issuance After Transaction,2019-09-07
126,Monthly,2016-10-23
127,Monthly,2017-02-02
128,Monthly,2016-02-19
129,Monthly,2020-10-01
130,Monthly,2020-02-12
131,Monthly,2018-06-13
132,Issuance After Transaction,2019-05-11
133,Weekly,2020-10-11
134,Monthly,2020-12-10
135,Monthly,2016-06-15
136,Monthly,2019-05-14
137,Monthly,2019-07-19
138,Monthly,2018-09-19
139,Weekly,2020-05-15
140,Monthly,2019-06-25
141,Monthly,2019-03-06
142,Monthly,2016-02-15
143,Monthly,2019-11-27
144,Weekly,2020-04-03
145,Monthly,2019-01-03
146,Monthly,2016-09-02
148,Monthly,2016-06-21
149,Monthly,2020-11-16
150,Monthly,2018-03-16
151,Monthly,2016-09-06
152,Monthly,2019-04-12
153,Monthly,2016-09-19
154,Monthly,2017-06-21
155,Monthly,2018-11-07
156,Monthly,2020-10-22
157,Monthly,2020-03-28
158,Monthly,2018-03-15
159,Monthly,2020-02-11
160,Monthly,2016-09-04
161,Monthly,2017-07-04
162,Monthly,2016-08-25
163,Monthly,2016-01-27
164,Monthly,2019-09-13
165,Monthly,2016-06-01
166,Monthly,2019-08-20
167,Weekly,2019-02-26
168,Monthly,2016-04-27
169,Monthly,2018-09-28
170,Monthly,2019-07-02
171,Monthly,2019-06-08
172,Monthly,2016-08-30
173,Monthly,2016-11-26
174,Monthly,2019-09-04
176,Weekly,2019-08-12
177,Monthly,2020-09-26
178,Monthly,2020-09-06
179,Weekly,2020-09-22
180,Weekly,2016-12-14
181,Monthly,2019-06-11
182,Monthly,2019-08-24
183,Monthly,2016-12-12
184,Monthly,2019-02-21
185,Monthly,2020-07-04
186,Weekly,2016-07-29
187,Monthly,2016-03-28
188,Monthly,2016-04-20
189,Monthly,2020-04-16
190,Monthly,2018-03-02
191,Monthly,2020-03-17
192,Monthly,2016-01-08
193,Monthly,2019-12-22
194,Monthly,2019-08-01
195,Monthly,2020-02-27
196,Monthly,2016-11-14
197,Monthly,2016-02-25
198,Monthly,2016-10-25
199,Monthly,2019-10-26
200,Monthly,2017-07-03
201,Monthly,2017-11-02
204,Monthly,2019-01-13
205,Monthly,2020-10-08
206,Monthly,2018-04-08
207,Monthly,2016-07-25
208,Monthly,2019-03-27
209,Monthly,2019-11-24
210,Monthly,2019-03-17
211,Monthly,2020-07-19
212,Weekly,2016-01-20
213,Monthly,2018-08-29
214,Monthly,2020-03-09
215,Monthly,2020-11-25
216,Monthly,2017-05-16
217,Monthly,2018-01-20
218,Monthly,2019-02-06
219,Monthly,2018-09-06
220,Monthly,2016-04-09
221,Monthly,2019-10-30
222,Monthly,2016-03-15
223,Monthly,2018-06-13
224,Monthly,2019-10-27
225,Monthly,2016-07-28
226,Monthly,2020-02-23
227,Monthly,2018-03-28
228,Monthly,2016-09-28
229,Monthly,2020-06-07
230,Monthly,2019-02-26
231,Monthly,2018-04-03
232,Monthly,2020-11-29
234,Monthly,2016-07-15
235,Monthly,2016-10-06
236,Monthly,2019-03-16
237,Monthly,2017-03-25
238,Monthly,2016-08-15
239,Weekly,2016-03-01
240,Monthly,2020-04-28
241,Monthly,2019-09-29
242,Monthly,2019-08-29
243,Weekly,2016-11-06
244,Monthly,2016-02-08
245,Monthly,2016-11-25
246,Monthly,2020-12-20
248,Monthly,2018-04-02
249,Monthly,2019-12-03
250,Monthly,2020-05-10
251,Monthly,2019-04-06
252,Monthly,2019-12-26
253,Monthly,2018-12-05
255,Monthly,2019-11-03
256,Monthly,2018-05-14
257,Monthly,2018-11-05
258,Monthly,2020-07-09
259,Monthly,2016-10-28
260,Monthly,2018-10-14
261,Monthly,2019-10-07
262,Monthly,2019-01-27
263,Weekly,2020-01-03
264,Monthly,2019-02-09
265,Monthly,2019-07-05
266,Monthly,2017-05-11
267,Monthly,2018-04-26
268,Monthly,2019-05-29
269,Monthly,2019-08-30
270,Monthly,2018-01-23
271,Monthly,2019-08-13
272,Monthly,2019-10-23
273,Issuance After Transaction,2016-07-11
274,Monthly,2016-08-20
275,Monthly,2019-01-02
276,Monthly,2020-12-08
277,Issuance After Transaction,2017-05-01
278,Monthly,2019-04-08
279,Monthly,2016-04-14
280,Monthly,2016-01-23
281,Monthly,2019-10-27
282,Monthly,2020-05-12
283,Monthly,2019-04-18
284,Monthly,2020-07-18
285,Monthly,2018-05-08
286,Monthly,2019-03-27
287,Monthly,2016-10-27
288,Monthly,2018-03-18
289,Monthly,2017-03-17
290,Monthly,2016-12-02
291,Monthly,2020-06-08
292,Monthly,2020-02-26
293,Monthly,2020-05-04
294,Monthly,2020-01-05
295,Monthly,2020-11-23
296,Monthly,2019-02-14
297,Monthly,2019-09-08
298,Monthly,2020-12-02
299,Monthly,2016-04-05
300,Monthly,2016-06-23
301,Monthly,2018-09-10
302,Monthly,2019-05-09
303,Monthly,2019-07-25
304,Monthly,2020-03-20
305,Monthly,2019-10-18
306,Monthly,2016-06-08
307,Monthly,2020-08-07
308,Monthly,2018-10-16
309,Monthly,2020-04-25
311,Monthly,2020-08-08
312,Monthly,2019-01-03
313,Monthly,2019-07-06
314,Issuance After Transaction,2019-01-26
315,Monthly,2020-12-08
316,Monthly,2020-05-08
317,Monthly,2016-03-10
318,Monthly,2017-09-16
319,Weekly,2018-10-17
320,Monthly,2020-01-23
321,Monthly,2016-11-11
322,Monthly,2016-02-20
323,Monthly,2020-02-23
324,Monthly,2019-08-23
325,Monthly,2019-10-06
326,Monthly,2020-08-06
327,Monthly,2016-06-02
328,Monthly,2020-09-18
329,Monthly,2019-10-19
330,Monthly,2019-11-24
331,Monthly,2018-10-02
332,Monthly,2019-01-12
333,Monthly,2019-12-23
334,Monthly,2016-05-24
335,Monthly,2019-01-20
336,Monthly,2018-10-16
337,Monthly,2018-11-25
338,Monthly,2018-11-18
339,Weekly,2019-09-11
340,Monthly,2016-11-03
341,Monthly,2019-11-19
342,Monthly,2019-10-13
343,Monthly,2017-04-26
344,Monthly,2016-12-01
345,Monthly,2016-11-20
346,Monthly,2016-01-11
347,Monthly,2016-12-13
348,Monthly,2018-11-15
349,Monthly,2020-06-08
350,Monthly,2019-10-13
351,Monthly,2020-02-17
352,Monthly,2017-07-04
353,Monthly,2018-08-30
354,Monthly,2016-10-28
355,Weekly,2019-02-01
356,Monthly,2019-03-12
357,Monthly,2019-03-10
358,Monthly,2016-12-09
359,Monthly,2017-12-11
360,Monthly,2019-05-14
361,Monthly,2016-02-27
362,Monthly,2016-04-04
363,Monthly,2017-05-06
364,Monthly,2020-01-20
365,Monthly,2016-12-12
366,Monthly,2019-10-23
367,Monthly,2020-05-09
368,Monthly,2016-07-06
370,Monthly,2017-02-18
371,Monthly,2019-08-02
372,Monthly,2018-09-10
373,Monthly,2019-06-20
374,Monthly,2016-01-09
375,Monthly,2019-06-07
376,Monthly,2018-03-05
377,Monthly,2017-08-19
378,Monthly,2019-07-22
379,Monthly,2019-05-18
381,Monthly,2016-07-04
382,Monthly,2019-08-16
383,Monthly,2020-05-15
384,Weekly,2020-09-14
385,Monthly,2016-04-07
386,Monthly,2020-08-11
387,Monthly,2020-09-19
388,Monthly,2018-02-11
389,Monthly,2016-08-28
390,Monthly,2019-02-16
391,Monthly,2016-12-11
392,Monthly,2019-07-14
393,Monthly,2018-02-04
395,Monthly,2016-03-12
396,Monthly,2016-03-08
397,Monthly,2016-10-26
398,Monthly,2020-10-24
399,Monthly,2019-08-27
400,Monthly,2016-07-17
401,Monthly,2016-01-18
402,Monthly,2020-09-14
403,Monthly,2016-07-29
404,Monthly,2018-04-28
405,Monthly,2020-03-13
406,Monthly,2019-09-03
407,Weekly,2020-04-18
408,Monthly,2016-07-21
409,Monthly,2019-06-11
410,Monthly,2019-10-15
411,Monthly,2016-02-05
412,Monthly,2019-01-21
413,Monthly,2019-07-09
414,Monthly,2019-01-29
415,Monthly,2016-03-03
416,Monthly,2019-08-11
417,Monthly,2019-01-27
418,Monthly,2018-08-27
419,Monthly,2016-10-25
420,Monthly,2018-08-26
421,Monthly,2020-11-27
422,Weekly,2017-08-29
423,Monthly,2016-03-28
424,Monthly,2020-02-17
425,Monthly,2016-03-19
426,Monthly,2016-11-29
427,Monthly,2017-07-24
428,Monthly,2016-02-27
429,Monthly,2018-09-03
430,Monthly,2018-09-02
431,Monthly,2019-11-05
432,Monthly,2016-06-16
433,Monthly,2016-06-12
434,Monthly,2019-12-24
435,Monthly,2016-01-08
436,Monthly,2019-08-07
437,Monthly,2016-12-03
438,Monthly,2020-06-23
439,Monthly,2019-04-15
440,Monthly,2019-12-22
441,Weekly,2016-12-17
442,Monthly,2020-03-30
443,Monthly,2016-01-28
444,Monthly,2019-05-09
445,Weekly,2016-07-29
446,Monthly,2016-06-15
447,Monthly,2019-08-14
449,Monthly,2017-11-22
450,Monthly,2019-05-28
451,Monthly,2017-05-05
452,Monthly,2018-11-29
453,Monthly,2020-04-24
454,Monthly,2018-05-07
455,Monthly,2018-04-23
456,Monthly,2016-01-21
458,Monthly,2018-06-16
459,Monthly,2016-01-21
460,Monthly,2017-04-18
461,Monthly,2016-02-18
462,Monthly,2016-11-10
463,Monthly,2018-05-08
464,Monthly,2020-05-28
465,Monthly,2016-02-04
466,Monthly,2019-02-18
467,Monthly,2016-09-24
468,Monthly,2019-03-19
469,Monthly,2020-07-14
470,Monthly,2017-03-23
471,Monthly,2018-06-07
472,Monthly,2019-10-11
473,Monthly,2019-10-20
474,Monthly,2018-12-06
475,Monthly,2020-05-11
476,Monthly,2020-04-11
477,Monthly,2016-01-25
478,Monthly,2017-07-16
479,Monthly,2018-11-05
480,Monthly,2020-01-21
481,Monthly,2019-04-23
483,Monthly,2020-07-15
484,Monthly,2018-01-20
485,Issuance After Transaction,2016-01-04
486,Monthly,2018-11-21
487,Monthly,2018-11-14
488,Monthly,2019-06-20
489,Monthly,2016-05-17
490,Monthly,2018-05-23
491,Monthly,2019-05-12
492,Monthly,2016-10-10
493,Monthly,2017-04-05
494,Monthly,2016-03-11
496,Monthly,2016-02-26
497,Monthly,2016-04-15
498,Monthly,2016-11-21
500,Monthly,2019-04-27
501,Monthly,2018-10-21
502,Monthly,2020-10-13
503,Monthly,2019-08-08
504,Monthly,2016-04-21
505,Monthly,2019-12-16
506,Monthly,2019-07-08
507,Monthly,2019-06-17
508,Monthly,2019-11-19
509,Monthly,2020-08-14
510,Weekly,2016-06-02
511,Monthly,2019-11-10
512,Monthly,2020-01-14
513,Monthly,2019-11-21
514,Monthly,2019-03-30
515,Monthly,2018-02-09
516,Monthly,2019-02-08
517,Monthly,2016-09-22
518,Monthly,2017-09-09
519,Monthly,2016-11-12
520,Monthly,2016-11-04
521,Monthly,2018-10-08
522,Monthly,2018-12-20
523,Monthly,2016-08-11
524,Monthly,2017-05-03
525,Monthly,2019-03-20
526,Monthly,2019-07-16
528,Monthly,2019-12-30
529,Monthly,2020-08-18
530,Monthly,2019-11-19
531,Monthly,2018-08-18
532,Monthly,2018-09-02
533,Monthly,2018-05-07
534,Monthly,2020-05-26
535,Monthly,2017-05-24
536,Monthly,2019-10-13
537,Monthly,2020-01-08
538,Monthly,2017-06-07
539,Issuance After Transaction,2016-02-16
540,Monthly,2016-10-16
541,Monthly,2016-08-12
542,Monthly,2016-11-01
543,Monthly,2017-05-03
544,Monthly,2018-05-15
545,Monthly,2016-11-24
546,Monthly,2019-11-23
547,Monthly,2020-07-27
548,Monthly,2017-06-07
549,Monthly,2019-11-27
550,Monthly,2020-10-17
551,Monthly,2016-05-07
552,Monthly,2016-08-20
553,Monthly,2018-06-06
554,Monthly,2019-01-26
555,Monthly,2016-05-15
556,Monthly,2020-06-26
557,Monthly,2018-11-26
558,Monthly,2019-06-15
559,Monthly,2016-03-05
560,Monthly,2018-08-20
561,Monthly,2019-12-12
562,Monthly,2016-02-25
563,Monthly,2016-07-27
564,Monthly,2020-12-23
565,Monthly,2018-11-25
566,Monthly,2020-11-13
567,Monthly,2019-06-19
568,Monthly,2018-03-28
569,Monthly,2019-10-01
570,Monthly,2019-11-14
571,Monthly,2019-07-16
572,Monthly,2017-03-27
573,Weekly,2019-07-11
574,Monthly,2016-07-30
575,Monthly,2017-04-26
576,Monthly,2016-01-01
577,Monthly,2017-09-20
578,Weekly,2020-03-21
579,Monthly,2020-12-16
580,Monthly,2019-05-20
581,Monthly,2019-10-13
582,Monthly,2017-08-05
584,Monthly,2019-07-14
585,Monthly,2020-09-04
586,Monthly,2018-03-16
587,Monthly,2019-06-21
588,Monthly,2016-03-14
589,Monthly,2020-04-26
590,Monthly,2019-02-24
591,Monthly,2020-08-12
592,Monthly,2019-12-27
593,Monthly,2019-07-16
594,Monthly,2017-12-09
595,Monthly,2019-12-21
596,Monthly,2017-10-13
597,Monthly,2016-12-05
598,Monthly,2020-02-08
599,Monthly,2019-12-04
600,Monthly,2020-03-13
601,Monthly,2016-08-04
602,Monthly,2018-10-27
603,Monthly,2019-06-11
604,Monthly,2016-11-26
605,Monthly,2020-02-04
606,Monthly,2020-11-04
607,Monthly,2018-02-17
608,Monthly,2018-03-27
609,Monthly,2017-05-15
610,Monthly,2017-08-11
611,Monthly,2020-07-21
612,Monthly,2019-05-27
613,Issuance After Transaction,2019-08-10
614,Monthly,2020-06-07
615,Monthly,2019-04-09
616,Monthly,2016-10-14
617,Monthly,2019-08-23
618,Monthly,2019-10-02
619,Weekly,2018-09-09
620,Monthly,2019-02-18
621,Monthly,2019-06-01
622,Monthly,2020-06-22
623,Monthly,2016-03-24
624,Monthly,2016-10-11
625,Monthly,2018-07-12
626,Monthly,2016-11-11
627,Monthly,2016-02-05
628,Monthly,2017-01-03
629,Monthly,2017-07-25
630,Monthly,2016-06-29
631,Monthly,2019-03-25
632,Monthly,2019-05-14
633,Monthly,2018-12-06
635,Monthly,2017-08-21
636,Monthly,2020-04-24
637,Monthly,2019-08-27
638,Monthly,2018-06-28
639,Monthly,2020-11-03
640,Monthly,2016-06-02
641,Monthly,2020-06-22
643,Monthly,2020-10-28
644,Monthly,2020-11-06
645,Monthly,2020-08-21
646,Monthly,2019-01-06
647,Monthly,2020-04-28
648,Monthly,2016-11-09
649,Weekly,2017-05-17
650,Monthly,2018-01-28
651,Monthly,2016-11-28
652,Monthly,2016-01-05
653,Monthly,2020-08-19
654,Monthly,2017-10-16
655,Monthly,2016-03-24
656,Monthly,2019-08-18
657,Monthly,2016-08-08
658,Monthly,2019-01-10
659,Monthly,2019-12-14
660,Monthly,2019-01-20
662,Monthly,2017-07-18
664,Monthly,2019-12-08
665,Monthly,2018-09-03
666,Monthly,2019-03-15
669,Monthly,2019-06-07
671,Monthly,2020-10-29
672,Monthly,2020-06-23
673,Monthly,2020-12-08
674,Monthly,2018-09-02
675,Monthly,2018-08-03
676,Monthly,2018-09-22
677,Monthly,2020-09-13
678,Monthly,2016-10-08
679,Monthly,2020-07-12
680,Monthly,2020-07-18
682,Monthly,2020-06-08
683,Monthly,2019-07-22
684,Monthly,2019-05-12
685,Weekly,2018-01-04
686,Monthly,2016-04-04
687,Monthly,2019-06-02
688,Monthly,2016-11-25
689,Monthly,2019-04-24
690,Monthly,2019-07-11
691,Monthly,2019-02-21
692,Monthly,2019-10-02
693,Monthly,2017-06-06
694,Monthly,2019-09-04
695,Monthly,2019-04-21
696,Monthly,2020-11-09
697,Monthly,2016-02-23
698,Monthly,2019-09-29
699,Monthly,2016-09-17
700,Monthly,2017-06-01
701,Monthly,2016-06-08
702,Monthly,2016-06-23
703,Monthly,2020-12-21
704,Monthly,2016-01-01
705,Monthly,2020-07-14
706,Monthly,2019-05-07
708,Monthly,2019-03-30
709,Monthly,2017-07-25
710,Monthly,2017-09-02
711,Monthly,2017-07-06
712,Monthly,2019-12-01
713,Monthly,2019-10-15
714,Monthly,2019-11-04
715,Monthly,2019-08-08
716,Monthly,2017-09-25
717,Monthly,2016-04-24
718,Monthly,2019-03-03
719,Monthly,2016-12-21
720,Monthly,2018-07-20
721,Monthly,2016-08-29
722,Issuance After Transaction,2020-05-04
725,Monthly,2019-07-08
726,Monthly,2017-02-03
727,Monthly,2020-12-25
728,Monthly,2018-11-28
729,Monthly,2020-02-15
730,Monthly,2016-08-28
731,Monthly,2018-07-11
732,Monthly,2019-06-07
733,Weekly,2018-05-17
734,Monthly,2019-04-08
735,Monthly,2020-09-17
736,Monthly,2020-12-07
737,Monthly,2016-12-08
738,Monthly,2016-06-21
739,Monthly,2019-03-18
740,Monthly,2017-04-04
741,Monthly,2017-07-14
742,Monthly,2017-01-28
743,Monthly,2016-11-05
744,Monthly,2016-03-06
745,Monthly,2020-10-09
746,Monthly,2018-05-10
747,Monthly,2016-08-09
748,Monthly,2016-04-08
749,Monthly,2020-03-23
750,Monthly,2016-09-12
751,Monthly,2016-05-12
752,Monthly,2020-01-10
753,Monthly,2019-08-14
754,Monthly,2018-06-08
755,Monthly,2020-09-27
756,Monthly,2018-01-13
757,Monthly,2016-07-19
758,Monthly,2020-12-19
759,Monthly,2016-08-01
760,Monthly,2020-05-24
761,Monthly,2017-04-09
762,Monthly,2018-10-18
763,Monthly,2018-02-23
764,Monthly,2016-01-08
765,Monthly,2019-12-20
766,Monthly,2019-04-21
767,Monthly,2018-03-26
768,Monthly,2020-07-03
770,Monthly,2019-09-24
771,Monthly,2019-01-22
772,Monthly,2016-01-21
773,Monthly,2016-06-19
774,Monthly,2016-06-08
775,Monthly,2017-12-18
776,Monthly,2019-05-18
777,Monthly,2020-12-28
778,Monthly,2019-10-26
779,Monthly,2019-08-13
780,Monthly,2019-04-26
781,Monthly,2018-02-19
782,Monthly,2020-10-30
783,Monthly,2020-09-08
784,Monthly,2017-04-19
785,Weekly,2020-08-09
786,Monthly,2018-08-12
787,Monthly,2016-11-14
788,Monthly,2019-06-25
789,Monthly,2018-02-06
790,Monthly,2016-05-11
791,Monthly,2018-12-14
792,Monthly,2020-08-13
793,Monthly,2016-01-03
794,Monthly,2020-04-24
795,Monthly,2018-01-27
796,Monthly,2020-02-13
797,Monthly,2019-11-20
798,Monthly,2019-04-22
799,Monthly,2016-10-10
800,Monthly,2020-12-06
801,Monthly,2020-07-23
802,Monthly,2017-12-20
803,Monthly,2018-09-09
804,Monthly,2019-02-06
805,Monthly,2019-12-02
806,Monthly,2019-10-29
807,Weekly,2018-06-13
808,Monthly,2018-06-13
809,Monthly,2018-12-20
810,Monthly,2018-11-11
811,Weekly,2020-08-01
812,Monthly,2019-08-30
813,Monthly,2016-02-10
814,Monthly,2019-10-06
815,Monthly,2016-08-25
816,Monthly,2016-08-05
817,Monthly,2017-03-18
819,Monthly,2018-04-22
820,Monthly,2018-11-04
821,Monthly,2019-03-16
822,Monthly,2019-10-04
823,Monthly,2020-09-19
824,Monthly,2019-03-21
825,Monthly,2019-03-06
826,Monthly,2019-10-05
827,Monthly,2019-02-23
828,Monthly,2020-02-12
829,Monthly,2019-11-10
830,Monthly,2016-02-08
831,Monthly,2019-09-18
832,Monthly,2019-05-24
833,Monthly,2019-08-29
834,Monthly,2020-05-23
836,Monthly,2019-07-28
837,Monthly,2016-09-18
838,Monthly,2016-10-23
839,Monthly,2018-01-17
840,Monthly,2019-03-12
841,Monthly,2016-11-04
842,Monthly,2018-04-07
843,Monthly,2020-04-09
844,Monthly,2017-04-28
845,Monthly,2020-12-27
846,Monthly,2019-03-09
847,Monthly,2019-07-21
848,Monthly,2019-06-16
849,Monthly,2019-01-01
850,Monthly,2020-03-07
851,Monthly,2017-09-23
852,Monthly,2020-10-23
853,Monthly,2019-03-20
854,Monthly,2016-09-21
855,Monthly,2017-03-28
856,Monthly,2019-03-03
857,Monthly,2016-09-16
858,Monthly,2019-07-13
859,Monthly,2020-08-26
860,Monthly,2016-03-19
861,Monthly,2016-09-13
862,Weekly,2016-02-02
863,Monthly,2016-05-16
864,Monthly,2020-07-08
865,Monthly,2019-03-18
866,Monthly,2016-01-10
867,Monthly,2020-11-09
868,Monthly,2020-05-26
869,Monthly,2019-07-15
870,Monthly,2018-03-27
871,Monthly,2019-09-02
872,Monthly,2020-01-18
873,Monthly,2020-04-26
874,Weekly,2019-03-23
875,Monthly,2018-05-17
876,Monthly,2020-10-26
877,Monthly,2019-05-29
878,Monthly,2019-06-29
879,Monthly,2020-06-04
880,Monthly,2019-12-08
882,Monthly,2016-03-06
883,Monthly,2016-12-17
884,Monthly,2016-12-07
885,Monthly,2016-06-25
886,Monthly,2016-06-23
887,Monthly,2016-05-05
888,Monthly,2019-10-28
889,Monthly,2020-12-22
890,Monthly,2016-02-05
891,Monthly,2019-05-23
892,Monthly,2016-03-20
893,Monthly,2018-04-12
894,Monthly,2018-08-27
895,Monthly,2019-03-12
896,Monthly,2018-06-11
897,Monthly,2016-04-26
898,Monthly,2019-03-27
899,Monthly,2016-06-21
900,Monthly,2017-04-26
901,Monthly,2017-07-10
902,Monthly,2016-06-29
903,Monthly,2016-12-10
904,Monthly,2017-03-20
905,Monthly,2019-12-11
906,Monthly,2020-12-27
907,Monthly,2016-07-09
908,Monthly,2017-04-29
909,Monthly,2020-09-02
910,Monthly,2020-02-03
911,Monthly,2019-08-12
912,Monthly,2020-04-27
913,Monthly,2019-05-10
914,Monthly,2016-11-14
915,Monthly,2018-01-18
916,Monthly,2019-08-13
917,Monthly,2018-10-13
918,Monthly,2019-08-23
919,Monthly,2020-03-03
920,Monthly,2019-09-05
921,Monthly,2019-10-08
922,Monthly,2018-04-27
923,Monthly,2019-02-07
924,Monthly,2018-12-09
925,Monthly,2016-02-23
926,Monthly,2019-11-01
927,Monthly,2020-04-12
928,Monthly,2016-04-26
929,Monthly,2016-07-03
930,Monthly,2016-08-03
931,Monthly,2016-10-15
932,Monthly,2019-07-08
933,Monthly,2018-11-18
934,Monthly,2020-11-27
935,Monthly,2019-12-25
936,Monthly,2019-03-02
937,Monthly,2018-08-26
938,Monthly,2020-12-13
939,Monthly,2017-10-04
940,Monthly,2017-11-15
941,Monthly,2017-06-08
942,Monthly,2016-08-16
943,Monthly,2016-02-03
944,Monthly,2016-03-08
945,Monthly,2019-08-16
946,Monthly,2019-01-01
947,Monthly,2016-05-17
949,Monthly,2019-02-13
950,Monthly,2016-08-26
951,Monthly,2019-04-28
952,Monthly,2020-11-09
953,Monthly,2018-07-22
954,Monthly,2019-01-08
955,Monthly,2019-07-08
956,Monthly,2016-12-05
957,Monthly,2018-12-22
958,Monthly,2019-06-06
959,Monthly,2019-02-23
960,Issuance After Transaction,2017-11-02
961,Monthly,2020-10-18
962,Monthly,2019-06-24
963,Monthly,2019-08-09
964,Monthly,2017-07-08
965,Monthly,2016-08-25
966,Monthly,2020-10-14
967,Monthly,2019-08-17
968,Monthly,2018-11-11
969,Monthly,2017-01-08
970,Monthly,2020-07-20
971,Monthly,2019-07-18
972,Monthly,2019-09-29
973,Monthly,2017-11-05
974,Monthly,2017-02-25
975,Monthly,2019-10-19
976,Monthly,2019-01-27
977,Monthly,2016-04-26
978,Monthly,2016-08-18
979,Monthly,2016-02-16
980,Monthly,2019-12-11
981,Monthly,2018-03-25
982,Monthly,2016-02-05
984,Monthly,2019-07-10
985,Monthly,2017-05-29
986,Monthly,2019-05-02
987,Monthly,2019-08-27
988,Monthly,2017-10-22
989,Monthly,2017-03-14
990,Monthly,2018-10-11
991,Monthly,2016-05-18
992,Monthly,2018-10-01
993,Monthly,2019-11-14
994,Monthly,2018-09-15
995,Monthly,2018-08-23
996,Monthly,2020-08-18
997,Monthly,2020-05-08
998,Monthly,2016-11-11
1000,Monthly,2016-01-25
1002,Monthly,2019-09-17
1003,Monthly,2019-10-10
1004,Monthly,2019-07-02
1005,Weekly,2016-02-23
1006,Monthly,2016-02-08
1007,Monthly,2019-06-28
1008,Monthly,2019-10-05
1009,Weekly,2018-08-01
1010,Monthly,2018-05-01
1011,Monthly,2017-12-17
1012,Monthly,2017-07-09
1013,Monthly,2019-05-13
1014,Monthly,2019-03-20
1015,Monthly,2020-06-14
1016,Monthly,2016-09-29
1017,Monthly,2017-08-11
1018,Monthly,2016-06-03
1019,Monthly,2016-01-21
1020,Monthly,2019-04-09
1021,Monthly,2019-11-17
1022,Weekly,2017-08-01
1023,Monthly,2016-08-13
1024,Monthly,2020-05-02
1026,Monthly,2020-09-03
1027,Monthly,2020-07-18
1028,Monthly,2019-03-19
1029,Monthly,2019-06-25
1030,Monthly,2018-11-12
1031,Monthly,2018-06-20
1032,Monthly,2016-04-26
1033,Monthly,2020-08-05
1034,Monthly,2020-04-04
1035,Monthly,2020-04-18
1036,Monthly,2019-01-18
